psgc_code,correspondence_code,name,level,region,province,city_municipality
0631000090,063022090,Liberation,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000091,063022091,"Libertad, Santa Isabel",Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000092,063022092,Libertad-Lapuz,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000093,063022093,Lopez Jaena,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000094,063022094,Loboc-Lapuz,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000095,063022095,Lopez Jaena Norte,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000096,063022096,Lopez Jaena Sur,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000097,063022097,Luna,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000098,063022098,M. V. Hechanova,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000099,063022099,Burgos-Mabini-Plaza,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000100,063022100,Macarthur,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
0631000101,063022101,Magdalo,Bgy,Region VI (Western Visayas),Iloilo,City of Iloilo 
